event_id,session_id,participant_id,student_id,student_name,timestamp,event_type,description,speech_context
EVT00000016,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 09:50:39,Attention,Distracted (looking sideways and down),Any questions so far
EVT00000017,SES000001,PAR000002,STU040,Nkechi Johnson,2025-09-04 10:02:33,Fatigue,Drowsy,Let's debug this code together
EVT00000018,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:14:35,Fatigue,Blinking rate high,Make sure to test your functions
EVT00000019,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 09:42:42,Attention,Distracted (looking sideways and down),Please pay attention to this section
EVT00000020,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:18:53,Attention,Distracted (looking sideways and up),Group discussion starts now
EVT00000021,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 09:37:36,Fatigue,Drowsy,Remember to commit your changes regularly
EVT00000022,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:22:17,Fatigue,Drowsy,Who can tell me the difference between SQL and NoSQL
EVT00000023,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:22:14,Hand Motion,Hand Detected,Remember to commit your changes regularly
EVT00000024,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:28:30,Hand Motion,Hand Detected,Who can tell me the difference between SQL and NoSQL
EVT00000025,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:09:32,Fatigue,Eyes closed,Let me show you how this works in practice
EVT00000026,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 09:54:50,Hand Motion,Hand Detected,Please open your IDEs and follow along
EVT00000027,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:01:45,Fatigue,Drowsy,Let's look at this example together
EVT00000028,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 09:39:14,Hand Motion,Hand Not Detected,Any questions so far
EVT00000029,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:13:16,Attention,Distracted (looking sideways and down),Let's debug this code together
EVT00000030,SES000001,PAR000003,STU041,Olu Mohammed,2025-09-04 10:07:38,Fatigue,Yawning detected,Who can tell me the difference between SQL and NoSQL
EVT00000031,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:25:53,Attention,Distracted (looking sideways and up),Let's debug this code together
EVT00000032,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:23:38,Attention,Focused,This concept is very important for the exam
EVT00000033,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:26:55,Attention,Distracted (looking sideways and up),Let's debug this code together
EVT00000034,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:27:10,Attention,Distracted (looking away),The API endpoint returns a JSON response
EVT00000035,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:22:41,Hand Motion,Hand Detected,Any questions so far
EVT00000036,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:22:02,Fatigue,Drowsy,Let me show you how this works in practice
EVT00000037,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 09:47:56,Attention,Distracted (looking sideways and down),The API endpoint returns a JSON response
EVT00000038,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:00:07,Fatigue,Blinking rate high,Let's take a five minute break
EVT00000039,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 09:47:38,Attention,Focused,Let me show you how this works in practice
EVT00000040,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:12:48,Fatigue,Eyes closed,Please open your IDEs and follow along
EVT00000041,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 09:56:25,Hand Motion,Hand Detected,Today we will discuss loops and conditionals
EVT00000042,SES000001,PAR000004,STU074,Vivian Hassan,2025-09-04 10:26:22,Hand Motion,Hand Detected,Please open your IDEs and follow along
EVT00000043,SES000001,PAR000005,STU011,Kevin Okonkwo,2025-09-04 10:07:36,Fatigue,Drowsy,Can anyone explain what a variable is
EVT00000044,SES000001,PAR000005,STU011,Kevin Okonkwo,2025-09-04 10:00:17,Attention,Focused,Please open your IDEs and follow along
EVT00000045,SES000001,PAR000005,STU011,Kevin Okonkwo,2025-09-04 10:00:09,Attention,Focused,Any questions so far
EVT00000046,SES000001,PAR000005,STU011,Kevin Okonkwo,2025-09-04 10:03:26,Attention,Focused,Please submit your work before leaving
EVT00000047,SES000001,PAR000005,STU011,Kevin Okonkwo,2025-09-04 09:49:29,Attention,Focused,Please pay attention to this section
EVT00000048,SES000001,PAR000005,STU011,Kevin Okonkwo,2025-09-04 10:04:02,Attention,Focused,Please pay attention to this section
EVT00000049,SES000001,PAR000005,STU011,Kevin Okonkwo,2025-09-04 10:28:31,Hand Motion,Hand Detected,Let's take a five minute break
EVT00000050,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 09:59:25,Attention,Distracted (looking sideways and down),Let's debug this code together
EVT00000051,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 09:57:23,Attention,Focused,This is the final topic for today
EVT00000052,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 09:50:02,Attention,Focused,Today we will discuss loops and conditionals
EVT00000053,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 10:03:31,Fatigue,Drowsy,The assignment is due next Friday
EVT00000054,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 09:51:56,Attention,Focused,Who can tell me the difference between SQL and NoSQL
EVT00000055,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 10:29:47,Attention,Focused,This concept is very important for the exam
EVT00000056,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 10:11:43,Fatigue,Eyes closed,The assignment is due next Friday
EVT00000057,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 10:07:44,Attention,Focused,Please pay attention to this section
EVT00000058,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 10:01:10,Hand Motion,Hand Not Detected,Let's take a five minute break
EVT00000059,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 10:13:15,Hand Motion,Hand Not Detected,Let's take a five minute break
EVT00000060,SES000001,PAR000006,STU015,Oscar Smith,2025-09-04 09:47:58,Attention,Focused,Today we will discuss loops and conditionals
EVT00000061,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 09:40:37,Attention,Focused,Let me show you how this works in practice
EVT00000062,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 09:33:33,Hand Motion,Hand Detected,The project requirements are on the portal
EVT00000063,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 10:20:20,Attention,Focused,Please open your IDEs and follow along
EVT00000064,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 10:03:10,Attention,Focused,The project requirements are on the portal
EVT00000065,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 09:40:24,Hand Motion,Hand Detected,Group discussion starts now
EVT00000066,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 10:22:20,Attention,Focused,Let me show you how this works in practice
EVT00000067,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 10:15:29,Hand Motion,Hand Detected,The assignment is due next Friday
EVT00000068,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 10:17:51,Hand Motion,Hand Detected,This concept is very important for the exam
EVT00000069,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 10:28:21,Hand Motion,Hand Detected,Let me show you how this works in practice
EVT00000070,SES000001,PAR000007,STU021,Umar Nwosu,2025-09-04 09:38:13,Attention,Focused,This concept is very important for the exam
EVT00000071,SES000001,PAR000008,STU032,Funmi Mohammed,2025-09-04 10:09:06,Attention,Focused,Can anyone explain what a variable is
EVT00000072,SES000001,PAR000008,STU032,Funmi Mohammed,2025-09-04 10:05:57,Attention,Focused,Let me show you how this works in practice
EVT00000073,SES000001,PAR000008,STU032,Funmi Mohammed,2025-09-04 09:55:08,Attention,Distracted (looking sideways and up),The API endpoint returns a JSON response
EVT00000074,SES000001,PAR000008,STU032,Funmi Mohammed,2025-09-04 10:09:09,Hand Motion,Hand Detected,Group discussion starts now
EVT00000075,SES000001,PAR000008,STU032,Funmi Mohammed,2025-09-04 10:04:49,Attention,Distracted (looking sideways and up),Who can tell me the difference between SQL and NoSQL
EVT00000076,SES000001,PAR000008,STU032,Funmi Mohammed,2025-09-04 09:56:51,Attention,Focused,Can anyone explain what a variable is
EVT00000077,SES000001,PAR000009,STU067,Obi Bello,2025-09-04 09:36:33,Hand Motion,Hand Detected,Please open your IDEs and follow along
EVT00000078,SES000001,PAR000009,STU067,Obi Bello,2025-09-04 10:05:13,Attention,Focused,Who can tell me the difference between SQL and NoSQL
EVT00000079,SES000001,PAR000009,STU067,Obi Bello,2025-09-04 09:45:37,Attention,Focused,The database schema looks like this
EVT00000080,SES000001,PAR000009,STU067,Obi Bello,2025-09-04 09:53:46,Attention,Focused,Let's debug this code together
EVT00000081,SES000001,PAR000009,STU067,Obi Bello,2025-09-04 10:25:35,Fatigue,Blinking rate high,Remember to commit your changes regularly
EVT00000082,SES000001,PAR000009,STU067,Obi Bello,2025-09-04 10:23:43,Hand Motion,Hand Detected,Remember to commit your changes regularly
EVT00000083,SES000001,PAR000009,STU067,Obi Bello,2025-09-04 09:49:15,Hand Motion,Hand Detected,Let's take a five minute break
EVT00000084,SES000001,PAR000010,STU017,Quinn Smith,2025-09-04 09:44:15,Attention,Distracted (looking sideways and down),The assignment is due next Friday
EVT00000085,SES000001,PAR000010,STU017,Quinn Smith,2025-09-04 09:39:48,Hand Motion,Hand Not Detected,This concept is very important for the exam
EVT00000086,SES000001,PAR000010,STU017,Quinn Smith,2025-09-04 09:50:10,Hand Motion,Hand Not Detected,Let's look at this example together
EVT00000087,SES000001,PAR000010,STU017,Quinn Smith,2025-09-04 10:14:18,Hand Motion,Hand Detected,Please submit your work before leaving
EVT00000088,SES000001,PAR000010,STU017,Quinn Smith,2025-09-04 10:28:57,Attention,Distracted (looking sideways and down),Can anyone explain what a variable is
EVT00000089,SES000001,PAR000010,STU017,Quinn Smith,2025-09-04 09:45:43,Attention,Distracted (looking sideways and up),Group discussion starts now
EVT00000090,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 09:56:59,Attention,Focused,Who can tell me the difference between SQL and NoSQL
EVT00000091,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 09:36:37,Attention,Focused,The API endpoint returns a JSON response
EVT00000092,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 09:33:29,Attention,Focused,Please pay attention to this section
EVT00000093,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 09:51:46,Attention,Focused,This concept is very important for the exam
EVT00000094,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 09:59:08,Attention,Focused,The API endpoint returns a JSON response
EVT00000095,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 09:37:07,Attention,Distracted (looking sideways and up),Let's take a five minute break
EVT00000096,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 10:10:23,Hand Motion,Hand Detected,Group discussion starts now
EVT00000097,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 09:46:07,Attention,Focused,This concept is very important for the exam
EVT00000098,SES000001,PAR000011,STU053,Abdul Nwosu,2025-09-04 10:12:25,Hand Motion,Hand Not Detected,The API endpoint returns a JSON response
EVT00000099,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 10:10:23,Hand Motion,Hand Detected,Please open your IDEs and follow along
EVT00000100,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 09:51:02,Attention,Focused,The assignment is due next Friday
EVT00000101,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 09:47:40,Attention,Distracted (looking sideways and up),Please open your IDEs and follow along
EVT00000102,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 09:38:40,Hand Motion,Hand Not Detected,Group discussion starts now
EVT00000103,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 09:45:04,Attention,Distracted (looking sideways and down),Let me show you how this works in practice
EVT00000104,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 09:50:20,Attention,Focused,Remember to commit your changes regularly
EVT00000105,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 10:19:11,Hand Motion,Hand Detected,Let's look at this example together
EVT00000106,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 10:24:09,Fatigue,Blinking rate high,Please pay attention to this section
EVT00000107,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 10:03:52,Fatigue,Blinking rate high,Can anyone explain what a variable is
EVT00000108,SES000001,PAR000012,STU078,Alice Abubakar,2025-09-04 10:18:43,Fatigue,Drowsy,Let me show you how this works in practice
EVT00000109,SES000001,PAR000013,STU058,Femi Smith,2025-09-04 09:38:01,Attention,Focused,Make sure to test your functions
EVT00000110,SES000001,PAR000013,STU058,Femi Smith,2025-09-04 09:35:37,Hand Motion,Hand Detected,Group discussion starts now
EVT00000111,SES000001,PAR000013,STU058,Femi Smith,2025-09-04 09:53:22,Hand Motion,Hand Detected,This is the final topic for today
EVT00000112,SES000001,PAR000013,STU058,Femi Smith,2025-09-04 09:39:31,Attention,Focused,Let's take a five minute break
EVT00000113,SES000001,PAR000014,STU062,Joy Adeyemi,2025-09-04 10:02:27,Attention,Distracted (looking sideways and up),Remember to commit your changes regularly
EVT00000114,SES000001,PAR000014,STU062,Joy Adeyemi,2025-09-04 09:42:07,Fatigue,Yawning detected,Any questions so far
EVT00000115,SES000001,PAR000014,STU062,Joy Adeyemi,2025-09-04 10:03:21,Attention,Distracted (looking sideways and down),This concept is very important for the exam
EVT00000116,SES000001,PAR000014,STU062,Joy Adeyemi,2025-09-04 10:10:53,Attention,Distracted (looking sideways and up),Please open your IDEs and follow along
EVT00000117,SES000001,PAR000014,STU062,Joy Adeyemi,2025-09-04 09:33:26,Attention,Distracted (looking sideways and down),Let's take a five minute break
EVT00000118,SES000001,PAR000014,STU062,Joy Adeyemi,2025-09-04 10:18:55,Hand Motion,Hand Detected,Let's look at this example together
EVT00000119,SES000001,PAR000015,STU018,Rachel Smith,2025-09-04 09:47:44,Attention,Distracted (looking sideways and up),Let's take a five minute break
EVT00000120,SES000001,PAR000015,STU018,Rachel Smith,2025-09-04 09:37:50,Hand Motion,Hand Detected,Today we will discuss loops and conditionals
EVT00000121,SES000001,PAR000015,STU018,Rachel Smith,2025-09-04 09:37:48,Attention,Focused,Today we will discuss loops and conditionals
EVT00000122,SES000001,PAR000015,STU018,Rachel Smith,2025-09-04 09:33:59,Attention,Distracted (looking sideways and down),Group discussion starts now
EVT00000123,SES000001,PAR000015,STU018,Rachel Smith,2025-09-04 09:40:44,Fatigue,Blinking rate high,Today we will discuss loops and conditionals
EVT00000124,SES000001,PAR000015,STU018,Rachel Smith,2025-09-04 09:38:15,Attention,Distracted (looking sideways and down),Let's look at this example together
EVT00000125,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 11:14:01,Hand Motion,Hand Detected,This is the final topic for today
EVT00000126,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 11:20:32,Attention,Distracted (looking sideways and up),Let me show you how this works in practice
EVT00000127,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 10:51:15,Hand Motion,Hand Detected,Let's debug this code together
EVT00000128,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 11:09:36,Attention,Focused,Let's debug this code together
EVT00000129,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 11:57:01,Attention,Distracted (looking away),Who can tell me the difference between SQL and NoSQL
EVT00000130,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 11:14:43,Attention,Distracted (looking sideways and up),Let me show you how this works in practice
EVT00000131,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 12:32:38,Attention,Distracted (looking sideways and up),Please open your IDEs and follow along
EVT00000132,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 11:37:40,Fatigue,Drowsy,The assignment is due next Friday
EVT00000133,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 12:50:17,Attention,Focused,The assignment is due next Friday
EVT00000134,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 11:52:57,Attention,Distracted (looking sideways and down),The assignment is due next Friday
EVT00000135,SES000002,PAR000016,STU059,Gloria Bello,2025-09-04 12:14:26,Fatigue,Eyes closed,Can anyone explain what a variable is
EVT00000136,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 10:56:18,Attention,Focused,Any questions so far
EVT00000137,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 11:30:03,Attention,Distracted (looking sideways and up),Please open your IDEs and follow along
EVT00000138,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 11:11:11,Attention,Focused,Please submit your work before leaving
EVT00000139,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 11:22:23,Fatigue,Drowsy,Let's look at this example together
EVT00000140,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 10:32:17,Fatigue,Eyes closed,Please pay attention to this section
EVT00000141,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 11:15:43,Attention,Focused,Please submit your work before leaving
EVT00000142,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 10:41:11,Attention,Focused,Group discussion starts now
EVT00000143,SES000002,PAR000017,STU064,Lami Johnson,2025-09-04 10:51:45,Attention,Distracted (looking away),Any questions so far
EVT00000144,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:09:17,Attention,Distracted (looking sideways and up),Who can tell me the difference between SQL and NoSQL
EVT00000145,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 13:17:18,Fatigue,Yawning detected,Let me show you how this works in practice
EVT00000146,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:17:38,Hand Motion,Hand Detected,Let's debug this code together
EVT00000147,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:47:30,Hand Motion,Hand Not Detected,Let's take a five minute break
EVT00000148,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 10:55:49,Fatigue,Blinking rate high,Make sure to test your functions
EVT00000149,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 11:32:53,Fatigue,Yawning detected,Today we will discuss loops and conditionals
EVT00000150,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 11:28:30,Fatigue,Yawning detected,Let's debug this code together
EVT00000151,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:42:24,Fatigue,Eyes closed,Can anyone explain what a variable is
EVT00000152,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:08:23,Attention,Distracted (looking away),Please pay attention to this section
EVT00000153,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 11:53:28,Hand Motion,Hand Not Detected,Let's debug this code together
EVT00000154,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:27:58,Attention,Distracted (looking away),Can anyone explain what a variable is
EVT00000155,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 11:10:37,Attention,Distracted (looking sideways and down),Please pay attention to this section
EVT00000156,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:16:04,Fatigue,Drowsy,Who can tell me the difference between SQL and NoSQL
EVT00000157,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 12:14:29,Attention,Focused,Make sure to test your functions
EVT00000158,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 10:53:08,Hand Motion,Hand Detected,Any questions so far
EVT00000159,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 10:41:14,Attention,Focused,Let me show you how this works in practice
EVT00000160,SES000002,PAR000018,STU016,Paula Mohammed,2025-09-04 10:54:02,Attention,Distracted (looking away),Who can tell me the difference between SQL and NoSQL
EVT00000161,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:22:48,Attention,Focused,The API endpoint returns a JSON response
EVT00000162,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:54:47,Attention,Focused,This is the final topic for today
EVT00000163,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 13:29:05,Hand Motion,Hand Detected,Please pay attention to this section
EVT00000164,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:49:23,Fatigue,Yawning detected,Any questions so far
EVT00000165,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 12:50:25,Attention,Focused,Who can tell me the difference between SQL and NoSQL
EVT00000166,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 12:37:03,Hand Motion,Hand Not Detected,Make sure to test your functions
EVT00000167,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 12:50:02,Attention,Focused,Any questions so far
EVT00000168,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:47:13,Fatigue,Blinking rate high,Please pay attention to this section
EVT00000169,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:30:51,Attention,Focused,Let's take a five minute break
EVT00000170,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:23:09,Hand Motion,Hand Not Detected,The project requirements are on the portal
EVT00000171,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:54:04,Hand Motion,Hand Detected,The database schema looks like this
EVT00000172,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 13:28:16,Attention,Focused,Can anyone explain what a variable is
EVT00000173,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 12:14:26,Hand Motion,Hand Detected,The assignment is due next Friday
EVT00000174,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:01:30,Attention,Focused,The database schema looks like this
EVT00000175,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:40:39,Attention,Focused,The assignment is due next Friday
EVT00000176,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:50:50,Attention,Focused,Please open your IDEs and follow along
EVT00000177,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:24:15,Hand Motion,Hand Detected,Can anyone explain what a variable is
EVT00000178,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:38:37,Attention,Distracted (looking away),Make sure to test your functions
EVT00000179,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:45:15,Hand Motion,Hand Not Detected,Can anyone explain what a variable is
EVT00000180,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:46:07,Attention,Distracted (looking sideways and down),Today we will discuss loops and conditionals
EVT00000181,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 12:10:23,Hand Motion,Hand Not Detected,The API endpoint returns a JSON response
EVT00000182,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:26:12,Attention,Focused,Remember to commit your changes regularly
EVT00000183,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:08:22,Hand Motion,Hand Detected,Who can tell me the difference between SQL and NoSQL
EVT00000184,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 12:50:30,Attention,Distracted (looking sideways and up),Please pay attention to this section
EVT00000185,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:39:28,Hand Motion,Hand Detected,Make sure to test your functions
EVT00000186,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:43:12,Attention,Focused,This is the final topic for today
EVT00000187,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 10:54:30,Fatigue,Yawning detected,Let me show you how this works in practice
EVT00000188,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 11:31:53,Hand Motion,Hand Detected,Any questions so far
EVT00000189,SES000002,PAR000019,STU029,Chidi Okafor,2025-09-04 12:49:58,Hand Motion,Hand Not Detected,The API endpoint returns a JSON response
EVT00000190,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 12:42:11,Hand Motion,Hand Detected,Remember to commit your changes regularly
EVT00000191,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 12:37:39,Attention,Focused,Let's take a five minute break
EVT00000192,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 11:45:17,Attention,Focused,Let's look at this example together
EVT00000193,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 11:21:36,Hand Motion,Hand Not Detected,The assignment is due next Friday
EVT00000194,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 10:44:04,Attention,Distracted (looking sideways and down),Let's debug this code together
EVT00000195,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 11:03:48,Attention,Focused,Any questions so far
EVT00000196,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 12:00:43,Attention,Focused,Remember to commit your changes regularly
EVT00000197,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 12:16:29,Attention,Focused,This is the final topic for today
EVT00000198,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 11:50:26,Fatigue,Eyes closed,This is the final topic for today
EVT00000199,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 11:18:21,Fatigue,Eyes closed,Please submit your work before leaving
EVT00000200,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 10:50:48,Attention,Focused,Who can tell me the difference between SQL and NoSQL
EVT00000201,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 13:29:12,Fatigue,Yawning detected,Remember to commit your changes regularly
EVT00000202,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 12:59:56,Hand Motion,Hand Not Detected,Remember to commit your changes regularly
EVT00000203,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 11:02:47,Hand Motion,Hand Detected,Group discussion starts now
EVT00000204,SES000002,PAR000020,STU027,Ade Hassan,2025-09-04 10:51:39,Hand Motion,Hand Detected,Let me show you how this works in practice
