transcription_id,session_id,timestamp,speaker,text
TRN00000019,SES000002,2025-09-04 12:45:04,Ade Hassan,Who wants to share their screen
TRN00000056,SES000002,2025-09-04 12:45:25,Paula Mohammed,"Let's wrap up for today, see you next time"
TRN00000027,SES000002,2025-09-04 12:48:25,Lami Johnson,Great participation today
TRN00000049,SES000002,2025-09-04 12:52:29,Ade Hassan,Great participation today
TRN00000047,SES000002,2025-09-04 12:54:16,Paula Mohammed,Let's take a short break and continue
TRN00000026,SES000002,2025-09-04 12:58:54,Ade Hassan,Make sure to review the reading material
TRN00000023,SES000002,2025-09-04 13:04:28,Dr. Ngozi Okonkwo,Please submit your work on the portal
TRN00000028,SES000002,2025-09-04 13:05:17,Gloria Bello,Please submit your work on the portal
TRN00000018,SES000002,2025-09-04 13:15:00,Chidi Okafor,We'll continue this topic in the next class
TRN00000030,SES000002,2025-09-04 13:15:07,Dr. Ngozi Okonkwo,Please pay attention to this important concept
TRN00000048,SES000002,2025-09-04 13:16:47,Chidi Okafor,That's an interesting question
TRN00000042,SES000002,2025-09-04 13:18:16,Paula Mohammed,Please pay attention to this important concept
TRN00000021,SES000002,2025-09-04 13:19:23,Chidi Okafor,"Let's wrap up for today, see you next time"
TRN00000044,SES000002,2025-09-04 13:22:09,Dr. Ngozi Okonkwo,Any questions before we move on
TRN00000017,SES000002,2025-09-04 13:24:58,Gloria Bello,Great participation today
TRN00000040,SES000002,2025-09-04 13:25:04,Lami Johnson,We'll continue this topic in the next class
TRN00000036,SES000002,2025-09-04 13:25:31,Lami Johnson,Make sure to review the reading material
TRN00000038,SES000002,2025-09-04 13:26:50,Paula Mohammed,The quiz will be open book
TRN00000053,SES000002,2025-09-04 13:27:59,Dr. Ngozi Okonkwo,Everyone following so far
TRN00000078,SES000003,2025-09-04 11:45:45,Maryam Okafor,Can someone summarize what we covered last week
TRN00000074,SES000003,2025-09-04 11:45:51,Charlie Johnson,Any questions before we move on
TRN00000064,SES000003,2025-09-04 11:55:28,Gbenga Johnson,Let's look at a practical example
TRN00000061,SES000003,2025-09-04 12:10:34,Alice Bello,Let me clarify that point
TRN00000068,SES000003,2025-09-04 12:11:19,Prof. Ibrahim Mohammed,Let's take a short break and continue
TRN00000073,SES000003,2025-09-04 12:12:38,Charlie Johnson,"This will be on the exam, so take notes"
TRN00000065,SES000003,2025-09-04 12:20:31,Alice Bello,Remember to check your email for updates
TRN00000070,SES000003,2025-09-04 12:21:32,Prof. Ibrahim Mohammed,The quiz will be open book
TRN00000069,SES000003,2025-09-04 12:25:55,Gbenga Johnson,"Let's wrap up for today, see you next time"
TRN00000063,SES000003,2025-09-04 12:28:18,Alice Bello,"That's correct, well done"
TRN00000076,SES000003,2025-09-04 12:33:26,Maryam Okafor,Make sure to review the reading material
TRN00000071,SES000003,2025-09-04 12:36:16,Gbenga Johnson,Who wants to share their screen
TRN00000072,SES000003,2025-09-04 12:37:28,Alice Bello,"This will be on the exam, so take notes"
TRN00000077,SES000003,2025-09-04 12:41:31,Charlie Johnson,Who wants to share their screen
TRN00000067,SES000003,2025-09-04 12:45:41,Gbenga Johnson,Great participation today
TRN00000066,SES000003,2025-09-04 12:52:10,Alice Bello,"Good morning everyone, let's begin today's class"
TRN00000075,SES000003,2025-09-04 12:52:19,Maryam Okafor,"That's correct, well done"
TRN00000062,SES000003,2025-09-04 12:55:23,Charlie Johnson,We'll continue this topic in the next class
TRN00000082,SES000004,2025-09-07 16:02:05,Vera Bello,"That's correct, well done"
TRN00000088,SES000004,2025-09-07 16:05:16,Rashida Smith,Everyone following so far
TRN00000081,SES000004,2025-09-07 16:06:03,Habib Hassan,Please pay attention to this important concept
TRN00000086,SES000004,2025-09-07 16:07:11,Maryam Okafor,"This will be on the exam, so take notes"
TRN00000079,SES000004,2025-09-07 16:21:52,Habib Hassan,Please pay attention to this important concept
TRN00000087,SES000004,2025-09-07 16:25:28,Lami Johnson,Everyone following so far
TRN00000089,SES000004,2025-09-07 16:27:28,Habib Hassan,Great participation today
TRN00000084,SES000004,2025-09-07 16:30:55,Vera Bello,"Good morning everyone, let's begin today's class"
TRN00000085,SES000004,2025-09-07 16:32:33,Maryam Okafor,The quiz will be open book
TRN00000080,SES000004,2025-09-07 16:36:58,Vera Bello,That's an interesting question
TRN00000083,SES000004,2025-09-07 16:44:34,Rashida Smith,Everyone following so far
TRN00000113,SES000005,2025-09-08 16:00:01,Tina Nwosu,Please submit your work on the portal
TRN00000102,SES000005,2025-09-08 16:00:44,Tina Nwosu,Please submit your work on the portal
TRN00000108,SES000005,2025-09-08 16:06:23,Tina Nwosu,Please pay attention to this important concept
TRN00000105,SES000005,2025-09-08 16:14:53,Charlie Johnson,Let's take a short break and continue
TRN00000122,SES000005,2025-09-08 16:15:45,Yusuf Mohammed,The quiz will be open book
TRN00000123,SES000005,2025-09-08 16:16:00,Yusuf Mohammed,Please pay attention to this important concept
TRN00000116,SES000005,2025-09-08 16:17:02,Charlie Johnson,Let me clarify that point
TRN00000114,SES000005,2025-09-08 16:19:11,Dara Okafor,Everyone following so far
TRN00000093,SES000005,2025-09-08 16:22:09,Prof. Ibrahim Mohammed,Let's look at a practical example
TRN00000101,SES000005,2025-09-08 16:22:49,Prof. Ibrahim Mohammed,Who wants to share their screen
TRN00000117,SES000005,2025-09-08 16:30:25,Yusuf Mohammed,Can someone summarize what we covered last week
TRN00000107,SES000005,2025-09-08 16:32:01,Yusuf Mohammed,We'll continue this topic in the next class
TRN00000124,SES000005,2025-09-08 16:32:39,Tina Nwosu,The quiz will be open book
TRN00000115,SES000005,2025-09-08 16:40:40,Charlie Johnson,The deadline for the assignment is next Friday
TRN00000104,SES000005,2025-09-08 16:41:28,George Okonkwo,Make sure to review the reading material
TRN00000112,SES000005,2025-09-08 16:45:01,Charlie Johnson,"Let's wrap up for today, see you next time"
TRN00000099,SES000005,2025-09-08 16:52:35,Dara Okafor,Any questions before we move on
TRN00000121,SES000005,2025-09-08 17:00:08,Tina Nwosu,Great participation today
TRN00000092,SES000005,2025-09-08 17:04:03,Yusuf Mohammed,"Good morning everyone, let's begin today's class"
TRN00000096,SES000005,2025-09-08 17:23:02,Tina Nwosu,That's an interesting question
TRN00000111,SES000005,2025-09-08 17:27:55,George Okonkwo,Let's take a short break and continue
TRN00000103,SES000005,2025-09-08 17:28:35,Charlie Johnson,"Good morning everyone, let's begin today's class"
TRN00000091,SES000005,2025-09-08 17:30:54,Prof. Ibrahim Mohammed,"This will be on the exam, so take notes"
TRN00000095,SES000005,2025-09-08 17:33:26,Tina Nwosu,Let me clarify that point
TRN00000098,SES000005,2025-09-08 17:39:03,Dara Okafor,Great participation today
TRN00000109,SES000005,2025-09-08 17:42:27,Yusuf Mohammed,Make sure to review the reading material
TRN00000090,SES000005,2025-09-08 17:42:47,Prof. Ibrahim Mohammed,"That's correct, well done"
TRN00000094,SES000005,2025-09-08 17:47:05,Dara Okafor,That's an interesting question
TRN00000120,SES000005,2025-09-08 17:48:29,Charlie Johnson,Can someone summarize what we covered last week
TRN00000097,SES000005,2025-09-08 17:54:29,Dara Okafor,Let me clarify that point
TRN00000106,SES000005,2025-09-08 17:56:23,Dara Okafor,Let's look at a practical example
TRN00000126,SES000005,2025-09-08 17:57:37,Dara Okafor,The deadline for the assignment is next Friday
TRN00000119,SES000005,2025-09-08 17:57:55,Tina Nwosu,Please pay attention to this important concept
TRN00000110,SES000005,2025-09-08 18:06:23,George Okonkwo,"Good morning everyone, let's begin today's class"
TRN00000125,SES000005,2025-09-08 18:08:08,Tina Nwosu,"Let's wrap up for today, see you next time"
TRN00000100,SES000005,2025-09-08 18:10:08,Tina Nwosu,Let's take a short break and continue
TRN00000118,SES000005,2025-09-08 18:10:47,Prof. Ibrahim Mohammed,Can someone summarize what we covered last week
TRN00000129,SES000006,2025-09-09 08:32:12,Zubair Mohammed,"Let's wrap up for today, see you next time"
TRN00000127,SES000006,2025-09-09 08:37:05,Zubair Mohammed,The quiz will be open book
TRN00000133,SES000006,2025-09-09 08:40:09,Joy Adeyemi,"Let's wrap up for today, see you next time"
TRN00000128,SES000006,2025-09-09 08:49:27,Ifeanyi Abubakar,Great participation today
TRN00000130,SES000006,2025-09-09 08:56:26,Alice Bello,Can someone summarize what we covered last week
TRN00000137,SES000006,2025-09-09 09:02:01,Ifeanyi Abubakar,The quiz will be open book
TRN00000134,SES000006,2025-09-09 09:04:54,Joy Adeyemi,"Good morning everyone, let's begin today's class"
TRN00000135,SES000006,2025-09-09 09:05:01,Alice Bello,We'll continue this topic in the next class
TRN00000136,SES000006,2025-09-09 09:06:56,Zubair Mohammed,Let's take a short break and continue
TRN00000131,SES000006,2025-09-09 09:07:30,Ifeanyi Abubakar,"This will be on the exam, so take notes"
TRN00000132,SES000006,2025-09-09 09:12:02,Ifeanyi Abubakar,"That's correct, well done"
TRN00000145,SES000007,2025-09-09 09:16:40,Dr. Chioma Adeyemi,The quiz will be open book
TRN00000154,SES000007,2025-09-09 09:17:25,Lola Hassan,Let's look at a practical example
TRN00000149,SES000007,2025-09-09 09:30:47,Funmi Mohammed,The deadline for the assignment is next Friday
TRN00000139,SES000007,2025-09-09 09:35:54,Obi Bello,The deadline for the assignment is next Friday
TRN00000143,SES000007,2025-09-09 09:39:09,Chinwe Okafor,"This will be on the exam, so take notes"
TRN00000147,SES000007,2025-09-09 09:50:08,Chinwe Okafor,Who wants to share their screen
TRN00000159,SES000007,2025-09-09 09:59:31,Dr. Chioma Adeyemi,The quiz will be open book
TRN00000152,SES000007,2025-09-09 09:59:43,Chinwe Okafor,Great participation today
TRN00000150,SES000007,2025-09-09 10:07:31,Chinwe Okafor,Any questions before we move on
TRN00000141,SES000007,2025-09-09 10:10:03,Lola Hassan,Let me clarify that point
TRN00000156,SES000007,2025-09-09 10:10:23,Obi Bello,"Let's wrap up for today, see you next time"
TRN00000146,SES000007,2025-09-09 10:15:06,Dr. Chioma Adeyemi,Who wants to share their screen
TRN00000158,SES000007,2025-09-09 10:16:21,Dr. Chioma Adeyemi,Everyone following so far
TRN00000140,SES000007,2025-09-09 10:17:09,Obi Bello,"Let's wrap up for today, see you next time"
TRN00000144,SES000007,2025-09-09 10:23:34,Funmi Mohammed,Make sure to review the reading material
TRN00000153,SES000007,2025-09-09 10:26:15,Dr. Chioma Adeyemi,"This will be on the exam, so take notes"
TRN00000155,SES000007,2025-09-09 10:28:00,Funmi Mohammed,Let's take a short break and continue
TRN00000142,SES000007,2025-09-09 10:28:26,Umaru Hassan,Everyone following so far
TRN00000138,SES000007,2025-09-09 10:28:36,Lola Hassan,Please submit your work on the portal
TRN00000148,SES000007,2025-09-09 10:35:36,Obi Bello,"Good morning everyone, let's begin today's class"
TRN00000157,SES000007,2025-09-09 10:42:43,Dr. Chioma Adeyemi,Make sure to review the reading material
TRN00000151,SES000007,2025-09-09 10:44:49,Dr. Chioma Adeyemi,"That's correct, well done"
TRN00000168,SES000008,2025-09-09 11:33:11,Prof. Kunle Nwosu,"This will be on the exam, so take notes"
TRN00000172,SES000008,2025-09-09 11:38:11,Xena Adeyemi,Remember to check your email for updates
TRN00000165,SES000008,2025-09-09 11:38:33,Xena Adeyemi,Please pay attention to this important concept
TRN00000173,SES000008,2025-09-09 11:38:51,Xena Adeyemi,Please pay attention to this important concept
TRN00000164,SES000008,2025-09-09 11:41:42,Rashida Smith,Please pay attention to this important concept
TRN00000176,SES000008,2025-09-09 11:42:42,Kevin Okonkwo,"That's correct, well done"
TRN00000175,SES000008,2025-09-09 11:51:15,Bisi Nwosu,Remember to check your email for updates
TRN00000177,SES000008,2025-09-09 11:51:55,Bisi Nwosu,Remember to check your email for updates
TRN00000161,SES000008,2025-09-09 11:59:34,Kevin Okonkwo,Please pay attention to this important concept
TRN00000174,SES000008,2025-09-09 12:00:24,Bob Hassan,"This will be on the exam, so take notes"
TRN00000163,SES000008,2025-09-09 12:02:11,Bisi Nwosu,Remember to check your email for updates
TRN00000167,SES000008,2025-09-09 12:02:56,Bisi Nwosu,The quiz will be open book
TRN00000160,SES000008,2025-09-09 12:08:01,Kevin Okonkwo,Let's look at a practical example
TRN00000171,SES000008,2025-09-09 12:08:25,Bob Hassan,"This will be on the exam, so take notes"
TRN00000170,SES000008,2025-09-09 12:11:29,Bisi Nwosu,Let's take a short break and continue
TRN00000162,SES000008,2025-09-09 12:21:01,Bob Hassan,Everyone following so far
TRN00000169,SES000008,2025-09-09 12:30:05,Bob Hassan,Can someone summarize what we covered last week
TRN00000166,SES000008,2025-09-09 12:39:59,Kevin Okonkwo,"That's correct, well done"
TRN00000187,SES000009,2025-09-09 13:00:16,Ade Hassan,We'll continue this topic in the next class
TRN00000206,SES000009,2025-09-09 13:01:22,Yusuf Mohammed,Let me clarify that point
TRN00000194,SES000009,2025-09-09 13:04:34,Yusuf Mohammed,Can someone summarize what we covered last week
TRN00000188,SES000009,2025-09-09 13:06:50,Prof. Ibrahim Mohammed,Who wants to share their screen
TRN00000196,SES000009,2025-09-09 13:08:48,Ade Hassan,"That's correct, well done"
TRN00000181,SES000009,2025-09-09 13:09:54,Diana Nwosu,Let's take a short break and continue
TRN00000205,SES000009,2025-09-09 13:10:16,Prof. Ibrahim Mohammed,"That's correct, well done"
TRN00000184,SES000009,2025-09-09 13:13:06,Prof. Ibrahim Mohammed,We'll continue this topic in the next class
TRN00000190,SES000009,2025-09-09 13:20:58,Diana Nwosu,"Good morning everyone, let's begin today's class"
TRN00000193,SES000009,2025-09-09 13:24:07,Diana Nwosu,"Good morning everyone, let's begin today's class"
TRN00000195,SES000009,2025-09-09 13:26:56,Prof. Ibrahim Mohammed,That's an interesting question
TRN00000204,SES000009,2025-09-09 13:28:55,Yusuf Mohammed,That's an interesting question
TRN00000207,SES000009,2025-09-09 13:31:43,Yusuf Mohammed,"This will be on the exam, so take notes"
TRN00000191,SES000009,2025-09-09 13:34:48,Ade Hassan,We'll continue this topic in the next class
TRN00000201,SES000009,2025-09-09 13:57:15,Diana Nwosu,Please pay attention to this important concept
TRN00000197,SES000009,2025-09-09 14:01:04,Diana Nwosu,The quiz will be open book
TRN00000198,SES000009,2025-09-09 14:16:14,Ade Hassan,Let's look at a practical example
TRN00000178,SES000009,2025-09-09 14:21:26,Prof. Ibrahim Mohammed,"Good morning everyone, let's begin today's class"
TRN00000202,SES000009,2025-09-09 14:23:17,Diana Nwosu,The quiz will be open book
TRN00000200,SES000009,2025-09-09 14:23:23,Diana Nwosu,Great participation today
TRN00000179,SES000009,2025-09-09 14:25:08,Ade Hassan,Can someone summarize what we covered last week
TRN00000183,SES000009,2025-09-09 14:27:12,Ade Hassan,Let me clarify that point
TRN00000180,SES000009,2025-09-09 14:27:26,Ade Hassan,Please submit your work on the portal
TRN00000192,SES000009,2025-09-09 14:37:10,Diana Nwosu,We'll continue this topic in the next class
TRN00000189,SES000009,2025-09-09 14:41:05,Diana Nwosu,Remember to check your email for updates
TRN00000185,SES000009,2025-09-09 14:43:39,Ade Hassan,Any questions before we move on
TRN00000199,SES000009,2025-09-09 14:45:33,Yusuf Mohammed,Let's take a short break and continue
TRN00000186,SES000009,2025-09-09 14:54:02,Diana Nwosu,Let's look at a practical example
TRN00000203,SES000009,2025-09-09 14:55:04,Diana Nwosu,Please submit your work on the portal
TRN00000182,SES000009,2025-09-09 14:57:26,Prof. Ibrahim Mohammed,Everyone following so far
TRN00000226,SES000010,2025-09-13 09:16:54,Habib Hassan,The deadline for the assignment is next Friday
TRN00000210,SES000010,2025-09-13 09:22:29,Habib Hassan,Who wants to share their screen
TRN00000217,SES000010,2025-09-13 09:27:28,Yusuf Mohammed,Please submit your work on the portal
TRN00000233,SES000010,2025-09-13 09:28:06,Sam Abubakar,The deadline for the assignment is next Friday
TRN00000228,SES000010,2025-09-13 09:31:01,Musa Johnson,Who wants to share their screen
TRN00000219,SES000010,2025-09-13 09:31:28,Linda Bello,Who wants to share their screen
TRN00000231,SES000010,2025-09-13 09:35:05,Linda Bello,Make sure to review the reading material
TRN00000229,SES000010,2025-09-13 09:37:46,Linda Bello,Any questions before we move on
TRN00000215,SES000010,2025-09-13 09:42:06,Sam Abubakar,"This will be on the exam, so take notes"
TRN00000225,SES000010,2025-09-13 09:42:57,Musa Johnson,That's an interesting question
TRN00000213,SES000010,2025-09-13 09:47:03,Habib Hassan,That's an interesting question
TRN00000232,SES000010,2025-09-13 09:49:17,Sam Abubakar,Any questions before we move on
TRN00000216,SES000010,2025-09-13 09:49:57,Habib Hassan,Let's look at a practical example
TRN00000221,SES000010,2025-09-13 09:52:44,Prof. David Johnson,That's an interesting question
TRN00000236,SES000010,2025-09-13 09:59:29,Musa Johnson,Let's look at a practical example
TRN00000224,SES000010,2025-09-13 10:05:18,Yusuf Mohammed,Let's look at a practical example
TRN00000212,SES000010,2025-09-13 10:12:42,Habib Hassan,Let's look at a practical example
TRN00000209,SES000010,2025-09-13 10:15:29,Musa Johnson,We'll continue this topic in the next class
TRN00000220,SES000010,2025-09-13 10:20:09,Musa Johnson,"Let's wrap up for today, see you next time"
TRN00000237,SES000010,2025-09-13 10:30:19,Prof. David Johnson,We'll continue this topic in the next class
TRN00000234,SES000010,2025-09-13 10:32:40,Linda Bello,We'll continue this topic in the next class
TRN00000211,SES000010,2025-09-13 10:33:48,Linda Bello,Let's look at a practical example
TRN00000227,SES000010,2025-09-13 10:38:15,Musa Johnson,Make sure to review the reading material
TRN00000223,SES000010,2025-09-13 10:40:00,Habib Hassan,That's an interesting question
TRN00000208,SES000010,2025-09-13 10:40:01,Yusuf Mohammed,Any questions before we move on
TRN00000218,SES000010,2025-09-13 10:41:30,Prof. David Johnson,Please pay attention to this important concept
TRN00000230,SES000010,2025-09-13 10:48:02,Sam Abubakar,Make sure to review the reading material
TRN00000214,SES000010,2025-09-13 10:56:13,Linda Bello,"This will be on the exam, so take notes"
TRN00000235,SES000010,2025-09-13 11:03:04,Habib Hassan,Everyone following so far
TRN00000222,SES000010,2025-09-13 11:13:47,Prof. David Johnson,The deadline for the assignment is next Friday
TRN00000239,SES000011,2025-09-14 14:35:11,Dr. Amina Okafor,Everyone following so far
TRN00000257,SES000011,2025-09-14 14:35:29,Dr. Amina Okafor,"That's correct, well done"
TRN00000249,SES000011,2025-09-14 14:36:21,Lola Hassan,Let's look at a practical example
TRN00000244,SES000011,2025-09-14 14:41:22,Lola Hassan,Remember to check your email for updates
TRN00000242,SES000011,2025-09-14 14:42:05,Quinn Smith,Please submit your work on the portal
TRN00000270,SES000011,2025-09-14 14:50:32,Habib Hassan,Any questions before we move on
TRN00000265,SES000011,2025-09-14 14:54:30,Habib Hassan,Great participation today
TRN00000254,SES000011,2025-09-14 15:07:06,Lola Hassan,Any questions before we move on
TRN00000245,SES000011,2025-09-14 15:13:28,Xavier Okafor,Let me clarify that point
TRN00000243,SES000011,2025-09-14 15:16:36,Xavier Okafor,Let's take a short break and continue
TRN00000246,SES000011,2025-09-14 15:21:06,Quinn Smith,That's an interesting question
TRN00000248,SES000011,2025-09-14 15:21:41,Blessing Okonkwo,Great participation today
TRN00000238,SES000011,2025-09-14 15:23:52,Habib Hassan,That's an interesting question
TRN00000255,SES000011,2025-09-14 15:25:23,Blessing Okonkwo,"That's correct, well done"
TRN00000264,SES000011,2025-09-14 15:27:45,Blessing Okonkwo,We'll continue this topic in the next class
TRN00000260,SES000011,2025-09-14 15:28:43,Quinn Smith,Please pay attention to this important concept
TRN00000251,SES000011,2025-09-14 15:29:24,Lola Hassan,"Good morning everyone, let's begin today's class"
TRN00000271,SES000011,2025-09-14 15:30:53,Blessing Okonkwo,"Let's wrap up for today, see you next time"
TRN00000268,SES000011,2025-09-14 15:37:46,Xavier Okafor,Let's look at a practical example
TRN00000240,SES000011,2025-09-14 15:40:43,Blessing Okonkwo,Who wants to share their screen
TRN00000261,SES000011,2025-09-14 15:47:59,Lola Hassan,We'll continue this topic in the next class
TRN00000241,SES000011,2025-09-14 15:59:02,Blessing Okonkwo,Please submit your work on the portal
TRN00000262,SES000011,2025-09-14 16:02:09,Lola Hassan,Remember to check your email for updates
TRN00000253,SES000011,2025-09-14 16:06:08,Xavier Okafor,Any questions before we move on
TRN00000250,SES000011,2025-09-14 16:08:37,Xavier Okafor,Great participation today
TRN00000273,SES000011,2025-09-14 16:09:19,Habib Hassan,We'll continue this topic in the next class
TRN00000258,SES000011,2025-09-14 16:11:03,Habib Hassan,Any questions before we move on
TRN00000274,SES000011,2025-09-14 16:16:12,Quinn Smith,Let's take a short break and continue
TRN00000272,SES000011,2025-09-14 16:16:35,Quinn Smith,Great participation today
TRN00000256,SES000011,2025-09-14 16:21:37,Lola Hassan,That's an interesting question
TRN00000259,SES000011,2025-09-14 16:32:40,Blessing Okonkwo,"Good morning everyone, let's begin today's class"
TRN00000263,SES000011,2025-09-14 16:49:04,Blessing Okonkwo,Everyone following so far
TRN00000247,SES000011,2025-09-14 16:52:25,Lola Hassan,Let's look at a practical example
TRN00000252,SES000011,2025-09-14 16:52:58,Dr. Amina Okafor,That's an interesting question
TRN00000267,SES000011,2025-09-14 16:53:21,Dr. Amina Okafor,Who wants to share their screen
TRN00000266,SES000011,2025-09-14 16:56:40,Lola Hassan,"Good morning everyone, let's begin today's class"
TRN00000269,SES000011,2025-09-14 16:57:21,Xavier Okafor,Remember to check your email for updates
TRN00000287,SES000012,2025-09-17 08:35:02,Maryam Okafor,Please submit your work on the portal
TRN00000284,SES000012,2025-09-17 08:36:03,Michael Johnson,Everyone following so far
TRN00000283,SES000012,2025-09-17 08:40:15,Lami Johnson,Let me clarify that point
TRN00000289,SES000012,2025-09-17 08:49:14,Dr. Ngozi Okonkwo,Let me clarify that point
TRN00000290,SES000012,2025-09-17 08:49:53,Lami Johnson,Please submit your work on the portal
TRN00000277,SES000012,2025-09-17 08:53:04,Lola Hassan,"Good morning everyone, let's begin today's class"
TRN00000292,SES000012,2025-09-17 08:55:19,Maryam Okafor,Please submit your work on the portal
TRN00000288,SES000012,2025-09-17 08:57:15,Lami Johnson,Any questions before we move on
TRN00000285,SES000012,2025-09-17 08:57:38,Lami Johnson,"Let's wrap up for today, see you next time"
TRN00000286,SES000012,2025-09-17 09:05:54,Esther Adeyemi,"That's correct, well done"
TRN00000280,SES000012,2025-09-17 09:06:42,Lola Hassan,The quiz will be open book
TRN00000279,SES000012,2025-09-17 09:08:18,Maryam Okafor,"This will be on the exam, so take notes"
TRN00000276,SES000012,2025-09-17 09:14:44,Maryam Okafor,Any questions before we move on
TRN00000275,SES000012,2025-09-17 09:15:21,Dr. Ngozi Okonkwo,Let's look at a practical example
TRN00000291,SES000012,2025-09-17 09:21:34,Dr. Ngozi Okonkwo,Let's take a short break and continue
TRN00000281,SES000012,2025-09-17 09:22:47,Dr. Ngozi Okonkwo,The deadline for the assignment is next Friday
TRN00000282,SES000012,2025-09-17 09:40:41,Dr. Ngozi Okonkwo,Great participation today
TRN00000278,SES000012,2025-09-17 09:43:57,Michael Johnson,The deadline for the assignment is next Friday
TRN00000294,SES000013,2025-09-18 12:07:13,Prof. James Smith,Make sure to review the reading material
TRN00000299,SES000013,2025-09-18 12:12:01,Tina Nwosu,Can someone summarize what we covered last week
TRN00000302,SES000013,2025-09-18 12:14:37,Tina Nwosu,Let's look at a practical example
TRN00000301,SES000013,2025-09-18 12:20:29,Prof. James Smith,Any questions before we move on
TRN00000293,SES000013,2025-09-18 12:25:28,Dara Okafor,We'll continue this topic in the next class
TRN00000297,SES000013,2025-09-18 12:25:42,Blessing Okonkwo,Who wants to share their screen
TRN00000295,SES000013,2025-09-18 12:28:46,Dara Okafor,The deadline for the assignment is next Friday
TRN00000303,SES000013,2025-09-18 12:37:20,Blessing Okonkwo,Remember to check your email for updates
TRN00000300,SES000013,2025-09-18 12:39:40,Peace Mohammed,"Let's wrap up for today, see you next time"
TRN00000296,SES000013,2025-09-18 12:43:16,Prof. James Smith,That's an interesting question
