participant_id,session_id,student_id,student_name,joined_at,left_at,engagement_profile
PAR000067,SES000006,STU077,Zubair Mohammed,2025-09-09 08:40:00,2025-09-09 09:15:00,low_engaged
PAR000068,SES000006,STU001,Alice Bello,2025-09-09 08:34:00,2025-09-09 09:15:00,low_engaged
PAR000069,SES000006,STU043,Qudus Smith,2025-09-09 08:36:00,2025-09-09 09:15:00,low_engaged
PAR000070,SES000006,STU006,Fiona Nwosu,2025-09-09 08:34:00,2025-09-09 09:15:00,high_engaged
PAR000071,SES000006,STU058,Femi Smith,2025-09-09 08:39:00,2025-09-09 09:05:00,erratic
PAR000072,SES000006,STU042,Patience Adeyemi,2025-09-09 08:31:00,2025-09-09 09:15:00,moderate
PAR000073,SES000006,STU017,Quinn Smith,2025-09-09 08:38:00,2025-09-09 09:15:00,erratic
PAR000074,SES000006,STU028,Bisi Nwosu,2025-09-09 08:37:00,2025-09-09 09:15:00,low_engaged
PAR000075,SES000006,STU007,George Okonkwo,2025-09-09 08:37:00,2025-09-09 09:15:00,high_engaged
PAR000076,SES000006,STU037,Kemi Adeyemi,2025-09-09 08:39:00,2025-09-09 09:15:00,high_engaged
PAR000077,SES000006,STU072,Temitope Adeyemi,2025-09-09 08:36:00,2025-09-09 09:15:00,low_engaged
PAR000078,SES000006,STU008,Hannah Nwosu,2025-09-09 08:39:00,2025-09-09 09:15:00,moderate
PAR000079,SES000006,STU010,Julia Hassan,2025-09-09 08:40:00,2025-09-09 09:15:00,high_engaged
PAR000080,SES000006,STU049,Wunmi Hassan,2025-09-09 08:30:00,2025-09-09 09:15:00,erratic
PAR000081,SES000006,STU074,Vivian Hassan,2025-09-09 08:37:00,2025-09-09 09:15:00,erratic
PAR000082,SES000006,STU026,Zara Okonkwo,2025-09-09 08:40:00,2025-09-09 09:15:00,moderate
PAR000083,SES000006,STU071,Segun Hassan,2025-09-09 08:32:00,2025-09-09 09:15:00,low_engaged
PAR000084,SES000006,STU012,Linda Bello,2025-09-09 08:38:00,2025-09-09 09:15:00,low_engaged
PAR000085,SES000006,STU016,Paula Mohammed,2025-09-09 08:38:00,2025-09-09 08:57:00,low_engaged
PAR000086,SES000006,STU050,Xavier Okafor,2025-09-09 08:36:00,2025-09-09 09:06:00,low_engaged
PAR000087,SES000006,STU056,Dayo Bello,2025-09-09 08:37:00,2025-09-09 09:15:00,erratic
PAR000088,SES000006,STU080,Charlie Johnson,2025-09-09 08:32:00,2025-09-09 09:15:00,moderate
PAR000089,SES000007,STU032,Funmi Mohammed,2025-09-09 09:21:00,2025-09-09 10:45:00,erratic
PAR000090,SES000007,STU067,Obi Bello,2025-09-09 09:22:00,2025-09-09 10:45:00,high_engaged
PAR000091,SES000007,STU055,Chinwe Okafor,2025-09-09 09:24:00,2025-09-09 10:45:00,erratic
PAR000092,SES000007,STU038,Lola Hassan,2025-09-09 09:20:00,2025-09-09 10:45:00,moderate
PAR000093,SES000007,STU073,Umaru Hassan,2025-09-09 09:16:00,2025-09-09 10:45:00,high_engaged
PAR000094,SES000007,STU007,George Okonkwo,2025-09-09 09:15:00,2025-09-09 10:45:00,high_engaged
PAR000095,SES000007,STU071,Segun Hassan,2025-09-09 09:25:00,2025-09-09 10:45:00,low_engaged
PAR000096,SES000007,STU010,Julia Hassan,2025-09-09 09:17:00,2025-09-09 10:45:00,high_engaged
PAR000097,SES000007,STU006,Fiona Nwosu,2025-09-09 09:15:00,2025-09-09 10:45:00,high_engaged
PAR000098,SES000007,STU066,Nnamdi Nwosu,2025-09-09 09:19:00,2025-09-09 10:45:00,erratic
PAR000099,SES000007,STU014,Nina Nwosu,2025-09-09 09:22:00,2025-09-09 10:45:00,moderate
PAR000100,SES000007,STU074,Vivian Hassan,2025-09-09 09:22:00,2025-09-09 10:45:00,erratic
PAR000101,SES000008,STU044,Rashida Smith,2025-09-09 11:36:00,2025-09-09 12:45:00,high_engaged
PAR000102,SES000008,STU024,Xena Adeyemi,2025-09-09 11:32:00,2025-09-09 12:45:00,moderate
PAR000103,SES000008,STU028,Bisi Nwosu,2025-09-09 11:37:00,2025-09-09 12:45:00,low_engaged
PAR000104,SES000008,STU079,Bob Hassan,2025-09-09 11:40:00,2025-09-09 12:45:00,low_engaged
PAR000105,SES000008,STU011,Kevin Okonkwo,2025-09-09 11:39:00,2025-09-09 12:45:00,high_engaged
PAR000106,SES000008,STU034,Halima Nwosu,2025-09-09 11:34:00,2025-09-09 12:45:00,high_engaged
PAR000107,SES000008,STU014,Nina Nwosu,2025-09-09 11:39:00,2025-09-09 12:45:00,moderate
PAR000108,SES000008,STU056,Dayo Bello,2025-09-09 11:40:00,2025-09-09 12:45:00,erratic
PAR000109,SES000008,STU069,Quadri Smith,2025-09-09 11:40:00,2025-09-09 12:45:00,high_engaged
PAR000110,SES000008,STU003,Charlie Adeyemi,2025-09-09 11:34:00,2025-09-09 11:47:00,low_engaged
PAR000111,SES000008,STU001,Alice Bello,2025-09-09 11:30:00,2025-09-09 12:45:00,low_engaged
PAR000112,SES000009,STU025,Yusuf Mohammed,2025-09-09 13:07:00,2025-09-09 15:00:00,high_engaged
PAR000113,SES000009,STU004,Diana Nwosu,2025-09-09 13:10:00,2025-09-09 15:00:00,moderate
PAR000114,SES000009,STU027,Ade Hassan,2025-09-09 13:10:00,2025-09-09 15:00:00,high_engaged
PAR000115,SES000010,STU025,Yusuf Mohammed,2025-09-13 09:21:00,2025-09-13 11:15:00,high_engaged
PAR000116,SES000010,STU012,Linda Bello,2025-09-13 09:15:00,2025-09-13 11:08:00,low_engaged
PAR000117,SES000010,STU039,Musa Johnson,2025-09-13 09:21:00,2025-09-13 11:15:00,moderate
PAR000118,SES000010,STU060,Habib Hassan,2025-09-13 09:22:00,2025-09-13 11:15:00,moderate
PAR000119,SES000010,STU019,Sam Abubakar,2025-09-13 09:24:00,2025-09-13 11:15:00,moderate
PAR000120,SES000010,STU061,Idris Adeyemi,2025-09-13 09:19:00,2025-09-13 10:15:00,moderate
PAR000121,SES000010,STU055,Chinwe Okafor,2025-09-13 09:22:00,2025-09-13 11:15:00,erratic
PAR000122,SES000010,STU003,Charlie Adeyemi,2025-09-13 09:24:00,2025-09-13 11:15:00,low_engaged
PAR000123,SES000010,STU015,Oscar Smith,2025-09-13 09:22:00,2025-09-13 11:15:00,high_engaged
PAR000124,SES000010,STU022,Vera Bello,2025-09-13 09:15:00,2025-09-13 11:15:00,low_engaged
PAR000125,SES000010,STU020,Tina Nwosu,2025-09-13 09:21:00,2025-09-13 11:15:00,high_engaged
PAR000126,SES000010,STU057,Esther Adeyemi,2025-09-13 09:23:00,2025-09-13 11:15:00,moderate
PAR000127,SES000010,STU063,Kazeem Hassan,2025-09-13 09:25:00,2025-09-13 11:15:00,erratic
PAR000128,SES000010,STU075,Williams Okonkwo,2025-09-13 09:22:00,2025-09-13 10:46:00,erratic
PAR000129,SES000010,STU073,Umaru Hassan,2025-09-13 09:25:00,2025-09-13 11:15:00,high_engaged
PAR000130,SES000010,STU058,Femi Smith,2025-09-13 09:21:00,2025-09-13 10:02:00,erratic
PAR000131,SES000010,STU032,Funmi Mohammed,2025-09-13 09:18:00,2025-09-13 11:15:00,erratic
PAR000132,SES000010,STU013,Michael Johnson,2025-09-13 09:22:00,2025-09-13 11:15:00,erratic
PAR000133,SES000010,STU076,Yakubu Hassan,2025-09-13 09:18:00,2025-09-13 11:15:00,low_engaged
PAR000134,SES000010,STU037,Kemi Adeyemi,2025-09-13 09:25:00,2025-09-13 11:15:00,high_engaged
PAR000135,SES000011,STU060,Habib Hassan,2025-09-14 14:33:00,2025-09-14 17:00:00,moderate
PAR000136,SES000011,STU017,Quinn Smith,2025-09-14 14:30:00,2025-09-14 17:00:00,erratic
PAR000137,SES000011,STU038,Lola Hassan,2025-09-14 14:35:00,2025-09-14 17:00:00,moderate
PAR000138,SES000011,STU050,Xavier Okafor,2025-09-14 14:35:00,2025-09-14 17:00:00,low_engaged
PAR000139,SES000011,STU054,Blessing Okonkwo,2025-09-14 14:32:00,2025-09-14 17:00:00,high_engaged
PAR000140,SES000011,STU047,Uche Okonkwo,2025-09-14 14:38:00,2025-09-14 14:59:00,moderate
PAR000141,SES000011,STU061,Idris Adeyemi,2025-09-14 14:35:00,2025-09-14 17:00:00,moderate
PAR000142,SES000011,STU021,Umar Nwosu,2025-09-14 14:39:00,2025-09-14 17:00:00,high_engaged
PAR000143,SES000011,STU027,Ade Hassan,2025-09-14 14:38:00,2025-09-14 17:00:00,high_engaged
PAR000144,SES000011,STU037,Kemi Adeyemi,2025-09-14 14:34:00,2025-09-14 17:00:00,high_engaged
PAR000145,SES000011,STU012,Linda Bello,2025-09-14 14:35:00,2025-09-14 17:00:00,low_engaged
PAR000146,SES000011,STU062,Joy Adeyemi,2025-09-14 14:38:00,2025-09-14 17:00:00,moderate
PAR000147,SES000011,STU079,Bob Hassan,2025-09-14 14:32:00,2025-09-14 17:00:00,low_engaged
PAR000148,SES000011,STU023,Wale Smith,2025-09-14 14:38:00,2025-09-14 17:00:00,moderate
PAR000149,SES000011,STU026,Zara Okonkwo,2025-09-14 14:31:00,2025-09-14 17:00:00,moderate
PAR000150,SES000011,STU073,Umaru Hassan,2025-09-14 14:37:00,2025-09-14 17:00:00,high_engaged
PAR000151,SES000011,STU063,Kazeem Hassan,2025-09-14 14:31:00,2025-09-14 17:00:00,erratic
PAR000152,SES000011,STU007,George Okonkwo,2025-09-14 14:39:00,2025-09-14 17:00:00,high_engaged
PAR000153,SES000011,STU051,Yemi Smith,2025-09-14 14:31:00,2025-09-14 17:00:00,low_engaged
PAR000154,SES000011,STU072,Temitope Adeyemi,2025-09-14 14:30:00,2025-09-14 17:00:00,low_engaged
PAR000155,SES000011,STU032,Funmi Mohammed,2025-09-14 14:32:00,2025-09-14 17:00:00,erratic
PAR000156,SES000011,STU020,Tina Nwosu,2025-09-14 14:33:00,2025-09-14 17:00:00,high_engaged
PAR000157,SES000012,STU038,Lola Hassan,2025-09-17 08:32:00,2025-09-17 09:45:00,moderate
PAR000158,SES000012,STU057,Esther Adeyemi,2025-09-17 08:33:00,2025-09-17 09:45:00,moderate
PAR000159,SES000012,STU065,Maryam Okafor,2025-09-17 08:36:00,2025-09-17 09:45:00,high_engaged
PAR000160,SES000012,STU064,Lami Johnson,2025-09-17 08:30:00,2025-09-17 09:45:00,moderate
PAR000161,SES000012,STU013,Michael Johnson,2025-09-17 08:37:00,2025-09-17 09:45:00,erratic
PAR000162,SES000012,STU020,Tina Nwosu,2025-09-17 08:38:00,2025-09-17 09:45:00,high_engaged
PAR000163,SES000012,STU047,Uche Okonkwo,2025-09-17 08:34:00,2025-09-17 09:45:00,moderate
PAR000164,SES000012,STU043,Qudus Smith,2025-09-17 08:36:00,2025-09-17 09:45:00,low_engaged
PAR000165,SES000013,STU032,Funmi Mohammed,2025-09-18 12:00:00,2025-09-18 12:45:00,erratic
PAR000166,SES000013,STU020,Tina Nwosu,2025-09-18 12:00:00,2025-09-18 12:45:00,high_engaged
PAR000167,SES000013,STU068,Peace Mohammed,2025-09-18 12:10:00,2025-09-18 12:45:00,erratic
PAR000168,SES000013,STU054,Blessing Okonkwo,2025-09-18 12:09:00,2025-09-18 12:45:00,high_engaged
PAR000169,SES000013,STU030,Dara Okafor,2025-09-18 12:10:00,2025-09-18 12:45:00,low_engaged
PAR000170,SES000013,STU018,Rachel Smith,2025-09-18 12:10:00,2025-09-18 12:45:00,moderate
PAR000171,SES000013,STU055,Chinwe Okafor,2025-09-18 12:04:00,2025-09-18 12:45:00,erratic
PAR000172,SES000013,STU053,Abdul Nwosu,2025-09-18 12:10:00,2025-09-18 12:45:00,high_engaged
PAR000173,SES000013,STU073,Umaru Hassan,2025-09-18 12:04:00,2025-09-18 12:45:00,high_engaged
PAR000174,SES000013,STU059,Gloria Bello,2025-09-18 12:05:00,2025-09-18 12:45:00,low_engaged
PAR000175,SES000013,STU067,Obi Bello,2025-09-18 12:00:00,2025-09-18 12:45:00,high_engaged
PAR000176,SES000013,STU047,Uche Okonkwo,2025-09-18 12:08:00,2025-09-18 12:45:00,moderate
PAR000177,SES000013,STU004,Diana Nwosu,2025-09-18 12:02:00,2025-09-18 12:45:00,moderate
PAR000178,SES000013,STU057,Esther Adeyemi,2025-09-18 12:07:00,2025-09-18 12:45:00,moderate
PAR000179,SES000013,STU019,Sam Abubakar,2025-09-18 12:08:00,2025-09-18 12:45:00,moderate
PAR000180,SES000013,STU002,Bob Okafor,2025-09-18 12:09:00,2025-09-18 12:45:00,low_engaged
PAR000181,SES000013,STU009,Ian Okafor,2025-09-18 12:05:00,2025-09-18 12:45:00,low_engaged
PAR000182,SES000013,STU006,Fiona Nwosu,2025-09-18 12:10:00,2025-09-18 12:45:00,high_engaged
PAR000183,SES000013,STU022,Vera Bello,2025-09-18 12:03:00,2025-09-18 12:45:00,low_engaged
PAR000184,SES000013,STU021,Umar Nwosu,2025-09-18 12:01:00,2025-09-18 12:27:00,high_engaged
PAR000185,SES000013,STU026,Zara Okonkwo,2025-09-18 12:06:00,2025-09-18 12:45:00,moderate
PAR000186,SES000013,STU050,Xavier Okafor,2025-09-18 12:02:00,2025-09-18 12:45:00,low_engaged
PAR000187,SES000013,STU011,Kevin Okonkwo,2025-09-18 12:08:00,2025-09-18 12:45:00,high_engaged
PAR000188,SES000013,STU028,Bisi Nwosu,2025-09-18 12:01:00,2025-09-18 12:45:00,low_engaged
PAR000189,SES000014,STU067,Obi Bello,2025-09-19 08:00:00,2025-09-19 09:00:00,high_engaged
PAR000190,SES000014,STU044,Rashida Smith,2025-09-19 08:04:00,2025-09-19 09:00:00,high_engaged
PAR000191,SES000014,STU021,Umar Nwosu,2025-09-19 08:05:00,2025-09-19 09:00:00,high_engaged
PAR000192,SES000014,STU003,Charlie Adeyemi,2025-09-19 08:10:00,2025-09-19 09:00:00,low_engaged
PAR000193,SES000014,STU004,Diana Nwosu,2025-09-19 08:07:00,2025-09-19 09:00:00,moderate
PAR000194,SES000014,STU070,Rukayat Abubakar,2025-09-19 08:00:00,2025-09-19 09:00:00,low_engaged
PAR000195,SES000014,STU034,Halima Nwosu,2025-09-19 08:03:00,2025-09-19 09:00:00,high_engaged
PAR000196,SES000014,STU031,Emeka Okonkwo,2025-09-19 08:09:00,2025-09-19 09:00:00,moderate
PAR000197,SES000014,STU039,Musa Johnson,2025-09-19 08:10:00,2025-09-19 09:00:00,moderate
PAR000198,SES000014,STU055,Chinwe Okafor,2025-09-19 08:09:00,2025-09-19 09:00:00,erratic
PAR000199,SES000014,STU065,Maryam Okafor,2025-09-19 08:04:00,2025-09-19 09:00:00,high_engaged
PAR000200,SES000014,STU015,Oscar Smith,2025-09-19 08:09:00,2025-09-19 09:00:00,high_engaged
PAR000201,SES000015,STU049,Wunmi Hassan,2025-09-21 15:53:00,2025-09-21 17:45:00,erratic
PAR000202,SES000015,STU067,Obi Bello,2025-09-21 15:53:00,2025-09-21 17:45:00,high_engaged
PAR000203,SES000015,STU032,Funmi Mohammed,2025-09-21 15:51:00,2025-09-21 17:45:00,erratic
PAR000204,SES000015,STU014,Nina Nwosu,2025-09-21 15:54:00,2025-09-21 17:45:00,moderate
PAR000205,SES000015,STU042,Patience Adeyemi,2025-09-21 15:51:00,2025-09-21 17:45:00,moderate
PAR000206,SES000015,STU079,Bob Hassan,2025-09-21 15:52:00,2025-09-21 17:45:00,low_engaged
PAR000207,SES000015,STU025,Yusuf Mohammed,2025-09-21 15:51:00,2025-09-21 17:45:00,high_engaged
PAR000208,SES000015,STU047,Uche Okonkwo,2025-09-21 15:47:00,2025-09-21 17:45:00,moderate
PAR000209,SES000015,STU059,Gloria Bello,2025-09-21 15:52:00,2025-09-21 17:45:00,low_engaged
PAR000210,SES000015,STU013,Michael Johnson,2025-09-21 15:47:00,2025-09-21 17:45:00,erratic
PAR000211,SES000015,STU019,Sam Abubakar,2025-09-21 15:53:00,2025-09-21 17:45:00,moderate
PAR000212,SES000015,STU055,Chinwe Okafor,2025-09-21 15:46:00,2025-09-21 17:45:00,erratic
PAR000213,SES000015,STU053,Abdul Nwosu,2025-09-21 15:52:00,2025-09-21 17:45:00,high_engaged
PAR000214,SES000015,STU011,Kevin Okonkwo,2025-09-21 15:47:00,2025-09-21 17:45:00,high_engaged
PAR000215,SES000015,STU012,Linda Bello,2025-09-21 15:50:00,2025-09-21 17:45:00,low_engaged
PAR000216,SES000015,STU008,Hannah Nwosu,2025-09-21 15:46:00,2025-09-21 17:45:00,moderate
PAR000217,SES000015,STU069,Quadri Smith,2025-09-21 15:51:00,2025-09-21 17:45:00,high_engaged
PAR000218,SES000015,STU057,Esther Adeyemi,2025-09-21 15:50:00,2025-09-21 17:45:00,moderate
PAR000219,SES000015,STU009,Ian Okafor,2025-09-21 15:45:00,2025-09-21 17:45:00,low_engaged
PAR000220,SES000015,STU031,Emeka Okonkwo,2025-09-21 15:46:00,2025-09-21 17:45:00,moderate
PAR000221,SES000015,STU077,Zubair Mohammed,2025-09-21 15:50:00,2025-09-21 17:45:00,low_engaged
PAR000222,SES000015,STU029,Chidi Okafor,2025-09-21 15:52:00,2025-09-21 16:15:00,high_engaged
PAR000223,SES000015,STU005,Evan Mohammed,2025-09-21 15:47:00,2025-09-21 17:45:00,erratic
PAR000224,SES000015,STU024,Xena Adeyemi,2025-09-21 15:51:00,2025-09-21 16:35:00,moderate
PAR000225,SES000015,STU044,Rashida Smith,2025-09-21 15:49:00,2025-09-21 17:45:00,high_engaged
PAR000226,SES000016,STU001,Alice Bello,2025-09-22 09:37:00,2025-09-22 11:30:00,low_engaged
PAR000227,SES000016,STU016,Paula Mohammed,2025-09-22 09:32:00,2025-09-22 11:30:00,low_engaged
PAR000228,SES000016,STU071,Segun Hassan,2025-09-22 09:35:00,2025-09-22 10:59:00,low_engaged
PAR000229,SES000016,STU045,Sani Adeyemi,2025-09-22 09:40:00,2025-09-22 11:30:00,low_engaged
PAR000230,SES000016,STU009,Ian Okafor,2025-09-22 09:36:00,2025-09-22 11:30:00,low_engaged
PAR000231,SES000016,STU006,Fiona Nwosu,2025-09-22 09:36:00,2025-09-22 11:30:00,high_engaged
PAR000232,SES000016,STU054,Blessing Okonkwo,2025-09-22 09:30:00,2025-09-22 11:30:00,high_engaged
PAR000233,SES000016,STU062,Joy Adeyemi,2025-09-22 09:37:00,2025-09-22 11:30:00,moderate
PAR000234,SES000016,STU040,Nkechi Johnson,2025-09-22 09:40:00,2025-09-22 11:30:00,moderate
PAR000235,SES000016,STU058,Femi Smith,2025-09-22 09:32:00,2025-09-22 11:30:00,erratic
PAR000236,SES000016,STU044,Rashida Smith,2025-09-22 09:39:00,2025-09-22 11:30:00,high_engaged
PAR000237,SES000016,STU049,Wunmi Hassan,2025-09-22 09:34:00,2025-09-22 11:30:00,erratic
PAR000238,SES000016,STU061,Idris Adeyemi,2025-09-22 09:31:00,2025-09-22 11:30:00,moderate
PAR000239,SES000016,STU017,Quinn Smith,2025-09-22 09:31:00,2025-09-22 11:30:00,erratic
PAR000240,SES000016,STU018,Rachel Smith,2025-09-22 09:39:00,2025-09-22 11:30:00,moderate
PAR000241,SES000016,STU065,Maryam Okafor,2025-09-22 09:30:00,2025-09-22 11:30:00,high_engaged
PAR000242,SES000016,STU059,Gloria Bello,2025-09-22 09:38:00,2025-09-22 11:30:00,low_engaged
PAR000243,SES000016,STU069,Quadri Smith,2025-09-22 09:37:00,2025-09-22 11:30:00,high_engaged
PAR000244,SES000017,STU016,Paula Mohammed,2025-09-22 14:00:00,2025-09-22 15:30:00,low_engaged
PAR000245,SES000017,STU069,Quadri Smith,2025-09-22 14:03:00,2025-09-22 15:30:00,high_engaged
PAR000246,SES000017,STU024,Xena Adeyemi,2025-09-22 14:09:00,2025-09-22 15:30:00,moderate
PAR000247,SES000018,STU078,Alice Abubakar,2025-09-25 11:47:00,2025-09-25 12:45:00,moderate
PAR000248,SES000018,STU042,Patience Adeyemi,2025-09-25 11:47:00,2025-09-25 12:45:00,moderate
PAR000249,SES000018,STU052,Zainab Hassan,2025-09-25 11:46:00,2025-09-25 12:45:00,low_engaged
PAR000250,SES000018,STU076,Yakubu Hassan,2025-09-25 11:51:00,2025-09-25 12:45:00,low_engaged
PAR000251,SES000018,STU006,Fiona Nwosu,2025-09-25 11:45:00,2025-09-25 12:45:00,high_engaged
PAR000252,SES000018,STU063,Kazeem Hassan,2025-09-25 11:50:00,2025-09-25 12:45:00,erratic
